Hypothesis,Fork,Level,Total,# Significant,% Significant
H2,D1: Connectivity,pearson_z,24,24,100.0
H2,D1: Connectivity,spearman,24,24,100.0
H2,D2: Confound,none,24,24,100.0
H2,D2: Confound,ols,24,24,100.0
H2,D3: Reduction,fa,16,16,100.0
H2,D3: Reduction,ica,16,16,100.0
H2,D3: Reduction,none,16,16,100.0
H2,D4: Classifier,logistic_l2,24,24,100.0
H2,D4: Classifier,svm_linear,24,24,100.0
H2,D5: Domain,domain_7,24,24,100.0
H2,D5: Domain,subdomain_14,24,24,100.0
H3,D1: Connectivity,pearson_z,16,12,75.0
H3,D1: Connectivity,spearman,16,14,87.5
H3,D2: Confound,none,16,14,87.5
H3,D2: Confound,ols,16,12,75.0
H3,D3: Reduction,fa,16,14,87.5
H3,D3: Reduction,ica,16,12,75.0
H3,D4: Classifier,logistic_l2,16,13,81.2
H3,D4: Classifier,svm_linear,16,13,81.2
H3,D5: Domain,domain_7,16,14,87.5
H3,D5: Domain,subdomain_14,16,12,75.0
H1,D1: Connectivity,pearson_z,16,6,37.5
H1,D1: Connectivity,spearman,16,4,25.0
H1,D2: Confound,none,16,2,12.5
H1,D2: Confound,ols,16,8,50.0
H1,D3: Reduction,fa,16,0,0.0
H1,D3: Reduction,ica,16,10,62.5
H1,D4: Classifier,logistic_l2,16,6,37.5
H1,D4: Classifier,svm_linear,16,4,25.0
H1,D5: Domain,domain_7,16,5,31.2
H1,D5: Domain,subdomain_14,16,5,31.2
